"gene","proteinSearched","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblID","EntrezID"
"INS","niacin","This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5' region and with the IGF2 gene at the 3' region. [provided by RefSeq, May 2020]","                                            INS (Insulin) is a Protein Coding gene.                                            Diseases associated with INS include Hyperproinsulinemia and Maturity-Onset Diabetes Of The Young, Type 10.                                            Among its related pathways are RET signaling and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protease binding.                                            An important paralog of this gene is INS-IGF2.","Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver.
                         INS_HUMAN,P01308
                         ","ENSG00000254647",3630
"INS","fat","This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5' region and with the IGF2 gene at the 3' region. [provided by RefSeq, May 2020]","                                            INS (Insulin) is a Protein Coding gene.                                            Diseases associated with INS include Hyperproinsulinemia and Maturity-Onset Diabetes Of The Young, Type 10.                                            Among its related pathways are RET signaling and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protease binding.                                            An important paralog of this gene is INS-IGF2.","Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver.
                         INS_HUMAN,P01308
                         ","ENSG00000254647",3630
"INS","collagen","This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5' region and with the IGF2 gene at the 3' region. [provided by RefSeq, May 2020]","                                            INS (Insulin) is a Protein Coding gene.                                            Diseases associated with INS include Hyperproinsulinemia and Maturity-Onset Diabetes Of The Young, Type 10.                                            Among its related pathways are RET signaling and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protease binding.                                            An important paralog of this gene is INS-IGF2.","Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver.
                         INS_HUMAN,P01308
                         ","ENSG00000254647",3630
"INSR","insulin","This gene encodes a member of the receptor tyrosine kinase family of proteins. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that form a heterotetrameric receptor. Binding of insulin or other ligands to this receptor activates the insulin signaling pathway, which regulates glucose uptake and release, as well as the synthesis and storage of carbohydrates, lipids and protein. Mutations in this gene underlie the inherited severe insulin resistance syndromes including type A insulin resistance syndrome, Donohue syndrome and Rabson-Mendenhall syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]","                                            INSR (Insulin Receptor) is a Protein Coding gene.                                            Diseases associated with INSR include Donohue Syndrome and Hyperinsulinemic Hypoglycemia, Familial, 5.                                            Among its related pathways are RET signaling and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is IGF1R.","Receptor tyrosine kinase which mediates the pleiotropic actions of insulin. Binding of insulin leads to phosphorylation of several intracellular substrates, including, insulin receptor substrates (IRS1, 2, 3, 4), SHC, GAB1, CBL and other signaling intermediates. Each of these phosphorylated proteins serve as docking proteins for other signaling proteins that contain Src-homology-2 domains (SH2 domain) that specifically recognize different phosphotyrosine residues, including the p85 regulatory subunit of PI3K and SHP2. Phosphorylation of IRSs proteins lead to the activation of two main signaling pathways: the PI3K-AKT/PKB pathway, which is responsible for most of the metabolic actions of insulin, and the Ras-MAPK pathway, which regulates expression of some genes and cooperates with the PI3K pathway to control cell growth and differentiation. Binding of the SH2 domains of PI3K to phosphotyrosines on IRS1 leads to the activation of PI3K and the generation of phosphatidylinositol-(3, 4, 5)-triphosphate (PIP3), a lipid second messenger, which activates several PIP3-dependent serine/threonine kinases, such as PDPK1 and subsequently AKT/PKB. The net effect of this pathway is to produce a translocation of the glucose transporter SLC2A4/GLUT4 from cytoplasmic vesicles to the cell membrane to facilitate glucose transport. Moreover, upon insulin stimulation, activated AKT/PKB is responsible for: anti-apoptotic effect of insulin by inducing phosphorylation of BAD; regulates the expression of gluconeogenic and lipogenic enzymes by controlling the activity of the winged helix or forkhead (FOX) class of transcription factors. Another pathway regulated by PI3K-AKT/PKB activation is mTORC1 signaling pathway which regulates cell growth and metabolism and integrates signals from insulin. AKT mediates insulin-stimulated protein synthesis by phosphorylating TSC2 thereby activating mTORC1 pathway. The Ras/RAF/MAP2K/MAPK pathway is mainly involved in mediating cell growth, survival and cellular differentiation of insulin. Phosphorylated IRS1 recruits GRB2/SOS complex, which triggers the activation of the Ras/RAF/MAP2K/MAPK pathway. In addition to binding insulin, the insulin receptor can bind insulin-like growth factors (IGFI and IGFII). Isoform Short has a higher affinity for IGFII binding. When present in a hybrid receptor with IGF1R, binds IGF1. PubMed:12138094 shows that hybrid receptors composed of IGF1R and INSR isoform Long are activated with a high affinity by IGF1, with low affinity by IGF2 and not significantly activated by insulin, and that hybrid receptors composed of IGF1R and INSR isoform Short are activated by IGF1, IGF2 and insulin. In contrast, PubMed:16831875 shows that hybrid receptors composed of IGF1R and INSR isoform Long and hybrid receptors composed of IGF1R and INSR isoform Short have similar binding characteristics, both bind IGF1 and have a low affinity for insulin. In adipocytes, inhibits lipolysis (By similarity).
                         INSR_HUMAN,P06213
                         ","ENSG00000171105",3643
"ITGA2","ecm","This gene encodes the alpha subunit of a transmembrane receptor for collagens and related proteins. The encoded protein forms a heterodimer with a beta subunit and mediates the adhesion of platelets and other cell types to the extracellular matrix. Loss of the encoded protein is associated with bleeding disorder platelet-type 9. Antibodies against this protein are found in several immune disorders, including neonatal alloimmune thrombocytopenia. This gene is located adjacent to a related alpha subunit gene. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]","                                            ITGA2 (Integrin Subunit Alpha 2) is a Protein Coding gene.                                            Diseases associated with ITGA2 include Fetal And Neonatal Alloimmune Thrombocytopenia and Bleeding Disorder, Platelet-Type, 9.                                            Among its related pathways are Integrin Pathway and Interleukin-11 Signaling Pathway.                                            Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and integrin binding.                                            An important paralog of this gene is ITGA1.","Integrin alpha-2/beta-1 is a receptor for laminin, collagen, collagen C-propeptides, fibronectin and E-cadherin. It recognizes the proline-hydroxylated sequence G-F-P-G-E-R in collagen. It is responsible for adhesion of platelets and other cells to collagens, modulation of collagen and collagenase gene expression, force generation and organization of newly synthesized extracellular matrix.
                         ITA2_HUMAN,P17301
                         ","ENSG00000164171",3673
"ITGAV","ecm","The product of this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha subunit and a beta subunit that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha V subunit. This subunit associates with beta 1, beta 3, beta 5, beta 6 and beta 8 subunits. The heterodimer consisting of alpha V and beta 3 subunits is also known as the vitronectin receptor. This integrin may regulate angiogenesis and cancer progression. Alternative splicing results in multiple transcript variants. Note that the integrin alpha 5 and integrin alpha V subunits are encoded by distinct genes. [provided by RefSeq, Oct 2015]","                                            ITGAV (Integrin Subunit Alpha V) is a Protein Coding gene.                                            Diseases associated with ITGAV include West Nile Virus and Herpes Simplex.                                            Among its related pathways are Integrin Pathway and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include protease binding and voltage-gated calcium channel activity.                                            An important paralog of this gene is ITGA8.","The alpha-V (ITGAV) integrins are receptors for vitronectin, cytotactin, fibronectin, fibrinogen, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin and vWF. They recognize the sequence R-G-D in a wide array of ligands. ITGAV:ITGB3 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415). ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling (PubMed:20682778). ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling (PubMed:18441324). ITGAV:ITGB3 binds to FGF2 and this binding is essential for FGF2 signaling (PubMed:28302677). ITGAV:ITGB3 binds to IGF1 and this binding is essential for IGF1 signaling (PubMed:19578119). ITGAV:ITGB3 binds to IGF2 and this binding is essential for IGF2 signaling (PubMed:28873464). ITGAV:ITGB3 binds to IL1B and this binding is essential for IL1B signaling (PubMed:29030430). ITGAV:ITGB3 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGAV:ITGB3 and ITGAV:ITGB6 act as a receptor for fibrillin-1 (FBN1) and mediate R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887, PubMed:17158881). Integrin alpha-V/beta-6 or alpha-V/beta-8 (ITGAV:ITGB6 or ITGAV:ITGB8) mediates R-G-D-dependent release of transforming growth factor beta-1 (TGF-beta-1) from regulatory Latency-associated peptide (LAP), thereby playing a key role in TGF-beta-1 activation (PubMed:15184403, PubMed:22278742, PubMed:28117447). ITGAV:ITGB3 act as a receptor for CD40LG (PubMed:31331973).
                         ITAV_HUMAN,P06756
                         ","ENSG00000138448",3685
"ITGB1","ecm","Integrins are heterodimeric proteins made up of alpha and beta subunits. At least 18 alpha and 8 beta subunits have been described in mammals. Integrin family members are membrane receptors involved in cell adhesion and recognition in a variety of processes including embryogenesis, hemostasis, tissue repair, immune response and metastatic diffusion of tumor cells. This gene encodes a beta subunit. Multiple alternatively spliced transcript variants which encode different protein isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            ITGB1 (Integrin Subunit Beta 1) is a Protein Coding gene.                                            Diseases associated with ITGB1 include Gallbladder Cancer and Breast Cancer.                                            Among its related pathways are Integrin Pathway and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and signaling receptor binding.                                            An important paralog of this gene is ITGB3.","Integrins alpha-1/beta-1, alpha-2/beta-1, alpha-10/beta-1 and alpha-11/beta-1 are receptors for collagen. Integrins alpha-1/beta-1 and alpha-2/beta-2 recognize the proline-hydroxylated sequence G-F-P-G-E-R in collagen. Integrins alpha-2/beta-1, alpha-3/beta-1, alpha-4/beta-1, alpha-5/beta-1, alpha-8/beta-1, alpha-10/beta-1, alpha-11/beta-1 and alpha-V/beta-1 are receptors for fibronectin. Alpha-4/beta-1 recognizes one or more domains within the alternatively spliced CS-1 and CS-5 regions of fibronectin. Integrin alpha-5/beta-1 is a receptor for fibrinogen. Integrin alpha-1/beta-1, alpha-2/beta-1, alpha-6/beta-1 and alpha-7/beta-1 are receptors for lamimin. Integrin alpha-6/beta-1 (ITGA6:ITGB1) is present in oocytes and is involved in sperm-egg fusion (By similarity). Integrin alpha-4/beta-1 is a receptor for VCAM1. It recognizes the sequence Q-I-D-S in VCAM1. Integrin alpha-9/beta-1 is a receptor for VCAM1, cytotactin and osteopontin. It recognizes the sequence A-E-I-D-G-I-E-L in cytotactin. Integrin alpha-3/beta-1 is a receptor for epiligrin, thrombospondin and CSPG4. Alpha-3/beta-1 may mediate with LGALS3 the stimulation by CSPG4 of endothelial cells migration. Integrin alpha-V/beta-1 is a receptor for vitronectin. Beta-1 integrins recognize the sequence R-G-D in a wide array of ligands. Isoform 2 interferes with isoform 1 resulting in a dominant negative effect on cell adhesion and migration (in vitro). When associated with alpha-7/beta-1 integrin, regulates cell adhesion and laminin matrix deposition. Involved in promoting endothelial cell motility and angiogenesis. Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process and the formation of mineralized bone nodules. May be involved in up-regulation of the activity of kinases such as PKC via binding to KRT1. Together with KRT1 and RACK1, serves as a platform for SRC activation or inactivation. Plays a mechanistic adhesive role during telophase, required for the successful completion of cytokinesis. Integrin alpha-3/beta-1 provides a docking site for FAP (seprase) at invadopodia plasma membranes in a collagen-dependent manner and hence may participate in the adhesion, formation of invadopodia and matrix degradation processes, promoting cell invasion. ITGA4:ITGB1 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415, PubMed:24789099). ITGA4:ITGB1 and ITGA5:ITGB1 bind to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGA5:ITGB1 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887, PubMed:17158881). ITGA5:ITGB1 is a receptor for IL1B and binding is essential for IL1B signaling (PubMed:29030430). ITGA5:ITGB3 is a receptor for soluble CD40LG and is required for CD40/CD40LG signaling (PubMed:31331973).
                         ITB1_HUMAN,P05556
                         ","ENSG00000150093",3688
"ITGB3","ecm","The ITGB3 protein product is the integrin beta chain beta 3. Integrins are integral cell-surface proteins composed of an alpha chain and a beta chain. A given chain may combine with multiple partners resulting in different integrins. Integrin beta 3 is found along with the alpha IIb chain in platelets. Integrins are known to participate in cell adhesion as well as cell-surface mediated signalling. [provided by RefSeq, Jul 2008]","                                            ITGB3 (Integrin Subunit Beta 3) is a Protein Coding gene.                                            Diseases associated with ITGB3 include Glanzmann Thrombasthenia and Bleeding Disorder, Platelet-Type, 16.                                            Among its related pathways are Monoamine Transport and RET signaling.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protease binding.                                            An important paralog of this gene is ENSG00000259753.","Integrin alpha-V/beta-3 (ITGAV:ITGB3) is a receptor for cytotactin, fibronectin, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin, vitronectin and von Willebrand factor. Integrin alpha-IIb/beta-3 (ITGA2B:ITGB3) is a receptor for fibronectin, fibrinogen, plasminogen, prothrombin, thrombospondin and vitronectin. Integrins alpha-IIb/beta-3 and alpha-V/beta-3 recognize the sequence R-G-D in a wide array of ligands. Integrin alpha-IIb/beta-3 recognizes the sequence H-H-L-G-G-G-A-K-Q-A-G-D-V in fibrinogen gamma chain. Following activation integrin alpha-IIb/beta-3 brings about platelet/platelet interaction through binding of soluble fibrinogen. This step leads to rapid platelet aggregation which physically plugs ruptured endothelial surface. Fibrinogen binding enhances SELP expression in activated platelets (By similarity). ITGAV:ITGB3 binds to fractalkine (CX3CL1) and acts as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415, PubMed:24789099). ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling (PubMed:20682778). ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling (PubMed:18441324). ITGAV:ITGB3 binds to FGF2 and this binding is essential for FGF2 signaling (PubMed:28302677). ITGAV:ITGB3 binds to IGF1 and this binding is essential for IGF1 signaling (PubMed:19578119). ITGAV:ITGB3 binds to IGF2 and this binding is essential for IGF2 signaling (PubMed:28873464). ITGAV:ITGB3 binds to IL1B and this binding is essential for IL1B signaling (PubMed:29030430). ITGAV:ITGB3 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGAV:ITGB3 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887). In brain, plays a role in synaptic transmission and plasticity. Involved in the regulation of the serotonin neurotransmission, is required to localize to specific compartments within the synapse the serotonin receptor SLC6A4 and for an appropriate reuptake of serotonin. Controls excitatory synaptic strength by regulating GRIA2-containing AMPAR endocytosis, which affects AMPAR abundance and composition (By similarity). ITGAV:ITGB3 act as a receptor for CD40LG (PubMed:31331973).
                         ITB3_HUMAN,P05106
                         ","ENSG00000259207",3690
"ITGB5","ecm","This gene encodes a beta subunit of integrin, which can combine with different alpha chains to form a variety of integrin heterodimers. Integrins are integral cell-surface receptors that participate in cell adhesion as well as cell-surface mediated signaling. The alphav beta5 integrin is involved in adhesion to vitronectin. [provided by RefSeq, Aug 2017]","                                            ITGB5 (Integrin Subunit Beta 5) is a Protein Coding gene.                                            Diseases associated with ITGB5 include Villous Adenocarcinoma and Osteopetrosis, Autosomal Dominant 2.                                            Among its related pathways are Integrin Pathway and Degradation of the extracellular matrix.                                            Gene Ontology (GO) annotations related to this gene include integrin binding.                                            An important paralog of this gene is ITGB3.","Integrin alpha-V/beta-5 (ITGAV:ITGB5) is a receptor for fibronectin. It recognizes the sequence R-G-D in its ligand.
                         ITB5_HUMAN,P18084
                         ","ENSG00000082781",3693
"JUN","transcription","This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies. [provided by RefSeq, Jul 2008]","                                            JUN (Jun Proto-Oncogene, AP-1 Transcription Factor Subunit) is a Protein Coding gene.                                            Diseases associated with JUN include Pertussis and Sarcoma.                                            Among its related pathways are ATM Pathway and Association Between Physico-Chemical Features and Toxicity Associated Pathways.                                            Gene Ontology (GO) annotations related to this gene include sequence-specific DNA binding.                                            An important paralog of this gene is JUND.","Transcription factor that recognizes and binds to the enhancer heptamer motif 5'-TGA[CG]TCA-3' (PubMed:10995748, PubMed:22083952). Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation (PubMed:17210646). Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells (PubMed:24623306). Binds to the USP28 promoter in colorectal cancer (CRC) cells (PubMed:24623306).
                         JUN_HUMAN,P05412
                         ","ENSG00000177606",3725
"KCNE5","col4a5","This gene encodes a member of a family of single pass transmembrane domain proteins that function as ancillary subunits to voltage-gated potassium channels. Members of this family affect diverse processes in potassium channel regulation, including ion selectivity, voltage dependence, and anterograde recycling from the plasma membrane. Variants of this gene are associated with idiopathic ventricular fibrillation and Brugada syndrome. [provided by RefSeq, Nov 2016]","                                            KCNE5 (Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 5) is a Protein Coding gene.                                            Diseases associated with KCNE5 include Brugada Syndrome and Amme Complex.                                            Among its related pathways are Cardiac conduction and Phase 0 - rapid depolarisation.                                            Gene Ontology (GO) annotations related to this gene include ion channel binding and potassium channel regulator activity.                                            An important paralog of this gene is KCNE3.","Potassium channel ancillary subunit that is essential for generation of some native K(+) currents by virtue of formation of heteromeric ion channel complex with voltage-gated potassium (Kv) channel pore-forming alpha subunits. Functions as an inhibitory beta-subunit of the repolarizing cardiac potassium ion channel KCNQ1.
                         KCNE5_HUMAN,Q9UJ90
                         ","ENSG00000176076",23630
"KCNJ1","potassium","Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. It is activated by internal ATP and probably plays an important role in potassium homeostasis. The encoded protein has a greater tendency to allow potassium to flow into a cell rather than out of a cell. Mutations in this gene have been associated with antenatal Bartter syndrome, which is characterized by salt wasting, hypokalemic alkalosis, hypercalciuria, and low blood pressure. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            KCNJ1 (Potassium Inwardly Rectifying Channel Subfamily J Member 1) is a Protein Coding gene.                                            Diseases associated with KCNJ1 include Bartter Syndrome, Type 2, Antenatal and Antenatal Bartter Syndrome.                                            Among its related pathways are Inwardly rectifying K+ channels and Potassium Channels.                                            Gene Ontology (GO) annotations related to this gene include phosphatidylinositol-4,5-bisphosphate binding and ATP-activated inward rectifier potassium channel activity.                                            An important paralog of this gene is KCNJ10.","In the kidney, probably plays a major role in potassium homeostasis. Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. This channel is activated by internal ATP and can be blocked by external barium.
                         KCNJ1_HUMAN,P48048
                         ","ENSG00000151704",3758
"KCNJ2","potassium","Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, probably participates in establishing action potential waveform and excitability of neuronal and muscle tissues. Mutations in this gene have been associated with Andersen syndrome, which is characterized by periodic paralysis, cardiac arrhythmias, and dysmorphic features. [provided by RefSeq, Jul 2008]","                                            KCNJ2 (Potassium Inwardly Rectifying Channel Subfamily J Member 2) is a Protein Coding gene.                                            Diseases associated with KCNJ2 include Andersen Cardiodysrhythmic Periodic Paralysis and Short Qt Syndrome 3.                                            Among its related pathways are Inwardly rectifying K+ channels and Transmission across Chemical Synapses.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and inward rectifier potassium channel activity.                                            An important paralog of this gene is KCNJ12.","Probably participates in establishing action potential waveform and excitability of neuronal and muscle tissues. Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. Can be blocked by extracellular barium or cesium.
                         KCNJ2_HUMAN,P63252
                         ","ENSG00000123700",3759
"KIT","integumentary","This gene encodes a receptor tyrosine kinase. This gene was initially identified as a homolog of the feline sarcoma viral oncogene v-kit and is often referred to as proto-oncogene c-Kit. The canonical form of this glycosylated transmembrane protein has an N-terminal extracellular region with five immunoglobulin-like domains, a transmembrane region, and an intracellular tyrosine kinase domain at the C-terminus. Upon activation by its cytokine ligand, stem cell factor (SCF), this protein phosphorylates multiple intracellular proteins that play a role in in the proliferation, differentiation, migration and apoptosis of many cell types and thereby plays an important role in hematopoiesis, stem cell maintenance, gametogenesis, melanogenesis, and in mast cell development, migration and function. This protein can be a membrane-bound or soluble protein. Mutations in this gene are associated with gastrointestinal stromal tumors, mast cell disease, acute myelogenous leukemia, and piebaldism. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2020]","                                            KIT (KIT Proto-Oncogene, Receptor Tyrosine Kinase) is a Protein Coding gene.                                            Diseases associated with KIT include Gastrointestinal Stromal Tumor and Piebald Trait.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and protein kinase activity.                                            An important paralog of this gene is CSF1R.","Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activated KIT also transmits signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3, STAT5A and STAT5B. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. KIT signaling is modulated by protein phosphatases, and by rapid internalization and degradation of the receptor. Activated KIT promotes phosphorylation of the protein phosphatases PTPN6/SHP-1 and PTPRU, and of the transcription factors STAT1, STAT3, STAT5A and STAT5B. Promotes phosphorylation of PIK3R1, CBL, CRK (isoform Crk-II), LYN, MAPK1/ERK2 and/or MAPK3/ERK1, PLCG1, SRC and SHC1.
                         KIT_HUMAN,P10721
                         ","ENSG00000157404",3815
"KL","phosphorus","This gene encodes a type-I membrane protein that is related to beta-glucosidases. Reduced production of this protein has been observed in patients with chronic renal failure (CRF), and this may be one of the factors underlying the degenerative processes (e.g., arteriosclerosis, osteoporosis, and skin atrophy) seen in CRF. Also, mutations within this protein have been associated with ageing and bone loss. [provided by RefSeq, Jul 2008]","                                            KL (Klotho) is a Protein Coding gene.                                            Diseases associated with KL include Tumoral Calcinosis, Hyperphosphatemic, Familial, 3 and Tumoral Calcinosis, Hyperphosphatemic, Familial, 1.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include obsolete signal transducer activity and hydrolase activity, hydrolyzing O-glycosyl compounds.                                            An important paralog of this gene is KLB.","May have weak glycosidase activity towards glucuronylated steroids. However, it lacks essential active site Glu residues at positions 239 and 872, suggesting it may be inactive as a glycosidase in vivo. May be involved in the regulation of calcium and phosphorus homeostasis by inhibiting the synthesis of active vitamin D (By similarity). Essential factor for the specific interaction between FGF23 and FGFR1 (By similarity).
                         KLOT_HUMAN,Q9UEF7
                         ","ENSG00000133116",9365
"KYNU","niacin","Kynureninase is a pyridoxal-5'-phosphate (pyridoxal-P) dependent enzyme that catalyzes the cleavage of L-kynurenine and L-3-hydroxykynurenine into anthranilic and 3-hydroxyanthranilic acids, respectively. Kynureninase is involved in the biosynthesis of NAD cofactors from tryptophan through the kynurenine pathway. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2010]","                                            KYNU (Kynureninase) is a Protein Coding gene.                                            Diseases associated with KYNU include Hydroxykynureninuria and Vertebral, Cardiac, Renal, And Limb Defects Syndrome 2.                                            Among its related pathways are Folate Metabolism and Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and kynureninase activity.                                            ","Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3-hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3-hydroxyanthranilic acid (3-OHAA), respectively. Has a preference for the L-3-hydroxy form. Also has cysteine-conjugate-beta-lyase activity.
                         KYNU_HUMAN,Q16719
                         ","ENSG00000115919",8942
